번호,도로명우편번호,도로명전체주소,인허가일자,영업상태명,폐업일자,사업장명,좌표번호 x,좌표번호y
7268,49411,부산광역시 사하구 낙동대로 407 (당리동),1992-08-28,영업/정상,,박 동물병원,35.10331567,128.9706916
7269,46554,부산광역시 북구 만덕대로 119 (덕천동),1991-01-17,영업/정상,,덕천동물의료센터,35.21341068,129.0150454
7270,46974,부산광역시 사상구 사상로 153 (괘법동),1989-11-23,영업/정상,,사상동물병원,35.15939605,128.9841871
7271,47003,"부산광역시 사상구 가야대로 283, 아이스테이트2 4층 (주례동)",1991-10-16,영업/정상,,부산동물병원 제넷,35.15081073,129.0008503
7272,46955,부산광역시 사상구 사상로 261 (덕포동),1996-03-20,영업/정상,,신병헌동물병원,35.16816497,128.9789823
7273,46926,부산광역시 사상구 백양대로 957 (모라동),1996-03-11,영업/정상,,모라동물병원,35.19166515,128.9890929
7274,,부산광역시 사상구 주례로10번길 125 (주례동),1998-12-21,영업/정상,,대성동물병원,35.14928585,129.0017178
7275,47005,부산광역시 사상구 가야대로 367 (주례동),2003-01-22,영업/정상,,개금동물병원,35.15161256,129.0099082
7276,47035,부산광역시 사상구 대동로 18(엄궁동),2003-08-25,영업/정상,,엄궁종합동물병원,35.13258832,128.9706574
7277,46928,부산광역시 사상구 모라로 107 (모라동),2004-09-22,영업/정상,,고은동물병원,35.1864839,128.9883963
7278,47032,"부산광역시 사상구 낙동대로 733, 롯데마트엄궁점 2층 (엄궁동)",2006-05-19,영업/정상,,쿨펫동물병원,35.12757253,128.965524
7279,47050,부산광역시 사상구 대동로 129 (학장동),2014-10-24,영업/정상,,학장동물병원,35.14007672,128.9784885
7280,47039,"부산광역시 사상구 낙동대로 786, 애진빌딩 201호 (엄궁동)",2018-05-11,영업/정상,,서부산동물메디컬센터,35.13069515,128.9692733
7281,,부산광역시 동구 망양로 835-1 (수정동),1992-07-04,영업/정상,,동구종합동물병원,35.13607393,129.0427846
7282,48814,부산광역시 동구 초량상로 84-1 (초량동),2005-06-24,영업/정상,,시민동물병원,35.11918241,129.0358035
7283,48780,"부산광역시 동구 수정동로 11, 1층 (수정동)",2009-05-11,영업/정상,,하나동물병원,35.12964603,129.0420675
7284,46611,부산광역시 북구 덕천로 280 (만덕동),1992-06-15,영업/정상,,백양동물병원,35.2091708,129.0322433
7285,46541,"부산광역시 북구 금곡대로 175 (화명동, 화명2차동원로얄듀크비스타)",1999-07-02,영업/정상,,노아동물병원,35.22469908,129.0061736
7286,46577,부산광역시 북구 만덕대로 34 (덕천동),2002-12-21,영업/정상,,21세기종합동물병원,35.21071327,129.0059003
7287,46599,"부산광역시 북구 시랑로 1, 장원동물병원 (구포동)",2003-03-21,영업/정상,,장원동물병원,35.20530833,129.0017291
7288,,부산광역시 북구 금곡대로 304 (화명동),2003-09-02,영업/정상,,차동물병원,35.23542843,129.0112339
7289,46649,부산광역시 북구 백양대로 1053 (구포동),2016-06-10,영업/정상,,해든동물병원,35.19948089,128.9936874
7290,,"부산광역시 북구 금곡대로 344 (화명동,화명빌딩202호)",2009-07-02,영업/정상,,행복한동물병원,35.23912116,129.0116133
7291,46571,부산광역시 북구 덕천로 227 (만덕동),2012-03-08,영업/정상,,만덕24시동물병원,35.21083157,129.0260699
7292,46539,"부산광역시 북구 금곡대로 182, 새마을금고 (화명동)",2013-04-16,영업/정상,,카이저 동물병원,35.22503036,129.007277
7293,46519,"부산광역시 북구 학사로 299, 해림빌딩 (금곡동)",2014-06-09,영업/정상,,그랜드 동물병원,35.24760143,129.0097052
7294,46548,부산광역시 북구 만덕대로 41 (덕천동),2017-06-14,영업/정상,,유동물의료센터,35.21140384,129.0065634
7295,46554,"부산광역시 북구 만덕대로155번길 9 (덕천동, 삼정그린코아아파트)",2018-01-31,영업/정상,,더힐동물병원,35.2138212,129.0179165
7296,49036,부산광역시 영도구 태종로 111 (영선동1가),2002-01-04,영업/정상,,영도동물병원,35.09111131,129.0401473
7297,49097,부산광역시 영도구 동삼로 80 (동삼동),1996-05-09,영업/정상,,태종동물병원,35.08052988,129.0677311
7298,49045,부산광역시 영도구 태종로 78 (대교동1가),2004-01-03,영업/정상,,센트럴종합동물병원,35.09213431,129.0363887
7299,49088,"부산광역시 영도구 태종로 430, 한라청학아파트 2층 (청학동)",2009-09-30,영업/정상,,천동물병원,35.08927067,129.064894
7300,48038,"부산광역시 해운대구 선수촌로 65-19, 농협반여동지점 2층 (반여동)",2017-01-13,영업/정상,,반여착한동물병원,35.19964657,129.1148646
7301,48104,"부산광역시 해운대구 양운로 45, 해운대베르나움 111호 (좌동)",2017-06-14,영업/정상,,해운대 24시 동물의료원,35.16737563,129.1738839
7302,48096,"부산광역시 해운대구 해운대해변로357번길 17, 4~8층 (중동)",2018-01-24,영업/정상,,큰마음동물메디컬센터,35.16467967,129.1648343
7303,48114,"부산광역시 해운대구 좌동순환로433번길 30-1, 해운대힐스테이트위브 224~227호 (중동)",2018-01-11,영업/정상,,힐 동물병원,35.1625222,129.1769894
7304,48104,"부산광역시 해운대구 좌동순환로402번길 8, 204호 (좌동, 피렌체오피스텔)",2013-07-22,영업/정상,,닥터주 동물병원,35.16297247,129.1748628
7305,48075,"부산광역시 해운대구 좌동순환로 173, 영풍프라자 302호 (좌동)",2014-03-16,영업/정상,,사랑의동물병원,35.17814643,129.1723829
